id,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,class_0,class_1,class_2,class_3,class_4,class_5,class_6
1846.0,1.0,32.0,1.75,120.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,True,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14225.0,0.0,19.783234,1.822573,133.952675,1.0,1.0,3.0,3.0,1.0,0.0,2.835622,0.0,1.655488,0.816986,1.0,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9438.0,1.0,21.793724,1.776989,89.993812,1.0,1.0,2.921225,2.983201,1.0,0.0,2.184843,0.0,2.164472,0.0,1.0,False,False,False,True,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12459.0,0.0,21.0,1.67,66.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,False,False,False,True,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12189.0,0.0,25.470652,1.628205,107.378702,1.0,1.0,3.0,3.0,1.0,0.0,2.554007,0.0,0.025787,0.484165,1.0,False,False,False,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11091.0,1.0,27.0,1.71,71.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,True,False,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13660.0,1.0,18.068767,1.754439,112.098616,1.0,1.0,1.851262,3.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,False,False,False,True,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12292.0,1.0,29.389239,1.782722,89.667406,1.0,1.0,1.592183,3.0,1.0,0.0,2.0,0.0,0.0,0.568668,1.0,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1327.0,0.0,20.700876,1.726606,131.76807,1.0,1.0,3.0,3.0,1.0,0.0,1.419136,0.0,1.46361,0.930888,1.0,False,False,False,True,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16996.0,0.0,18.0,1.63,53.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,False,False,False,True,False,,,,,,,
3418.0,0.0,26.0,1.626503,110.818757,1.0,1.0,3.0,3.0,1.0,0.0,2.708927,0.0,0.0,0.459274,1.0,False,False,False,True,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5825.0,0.0,21.0,1.59559,44.641796,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.452467,0.0,1.0,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9924.0,1.0,20.0,1.65,60.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7256.0,0.0,21.056059,1.746956,133.903612,1.0,1.0,3.0,3.0,1.0,0.0,1.439962,0.0,1.668961,0.831412,1.0,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20278.0,1.0,30.945369,1.771837,120.009392,1.0,1.0,2.57691,3.0,1.0,0.0,2.173417,0.0,1.082236,0.0,1.0,True,False,False,False,False,,,,,,,
5847.0,0.0,38.0,1.7,78.0,1.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1681.0,1.0,22.935612,1.722396,96.738014,1.0,1.0,2.0,1.92822,1.0,0.0,2.279214,0.0,0.0,1.339232,0.0,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0
